sanguine	["chromatic_color.n.01", "red.n.01"]
fibrousness	["quality.n.01", "attribute.n.02"]
inosine	["nucleoside.n.01", "glycoside.n.01"]
adesite	["rock.n.02", "igneous_rock.n.01"]
radiobiologist	["biologist.n.01", "scientist.n.01"]
seismogram	["graph.n.01", "visual_communication.n.01"]
eulogium	["approval.n.04", "praise.n.01"]
brachycephalism	["quality.n.01", "attribute.n.02"]
gemmule	["hypothesis.n.02", "concept.n.01"]
atrophedema	["swelling.n.01", "edema.n.01"]
stupa	["place_of_worship.n.01", "shrine.n.01"]
comp	["communication.n.01", "examination.n.02"]
antipope	["pope.n.01", "spiritual_leader.n.01", "catholic.n.01"]
postlude	["solo.n.02", "voluntary.n.02"]
bathometer	["measuring_instrument.n.01", "instrument.n.01"]
kibibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
coextension	["longness.n.01", "extension.n.09"]
selenology	["astronomy.n.01", "physics.n.01"]
arthropathy	["ill_health.n.01", "pathology.n.02"]
millenary	["day.n.03", "anniversary.n.01"]
millenary	["time_period.n.01", "fundamental_quantity.n.01"]
millenary	["large_integer.n.01", "thousand.n.01"]
bluecoat	["organism.n.01", "causal_agent.n.01", "person.n.01"]
remise	["carriage.n.02", "hackney.n.01"]
remise	["building.n.01", "outbuilding.n.01"]
remise	["blow.n.01", "stab.n.02"]
catamite	["male_child.n.01", "male.n.02"]
chlorofucin	["chlorophyll.n.01", "pigment.n.01"]
prolegomenon	["section.n.01", "introduction.n.02"]
botanical	["drug.n.01", "agent.n.03"]
interstate	["highway.n.01", "road.n.01"]
gabapentin	["anticonvulsant.n.01", "medicine.n.02"]
rebroadcast	["broadcast.n.01", "message.n.01"]
trustor	["donor.n.01", "benefactor.n.01"]
aspersorium	["basin.n.01", "vessel.n.03"]
aspersorium	["device.n.01", "instrumentality.n.03"]
egalite	["equality.n.02", "status.n.01"]
lagerphone	["percussion_instrument.n.01", "musical_instrument.n.01"]
dolichocephaly	["quality.n.01", "attribute.n.02"]
bowdleriser	["skilled_worker.n.01", "editor.n.01"]
polytheist	["theist.n.01", "believer.n.02"]
holophyte	["organism.n.01", "plant.n.02"]
graphic	["representation.n.02", "picture.n.01"]
wittol	["cuckold.n.01", "husband.n.01"]
rabidity	["liveliness.n.02", "exuberance.n.02"]
pallidity	["color_property.n.01", "visual_property.n.01"]
sarcenet	["silk.n.01", "fabric.n.01"]
headwater	["point.n.02", "beginning.n.04"]
yobibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
nonpartisan	["organism.n.01", "causal_agent.n.01", "person.n.01"]
insurrectionism	["principle.n.03", "law.n.03"]
exabyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
reenactment	["activity.n.01", "performing_arts.n.01", "acting.n.01"]
homepage	["web_page.n.01", "text_file.n.01"]
habitability	["fitness.n.01", "suitability.n.01"]
immunogenicity	["immunity.n.02", "condition.n.01"]
spokeshave	["hand_tool.n.01", "edge_tool.n.01", "plane.n.05"]
salability	["quality.n.01", "attribute.n.02"]
vermiculite	["material.n.01", "mineral.n.01"]
tetroxide	["compound.n.02", "oxide.n.01"]
cahoot	["agreement.n.06", "connivance.n.01"]
descriptivism	["belief.n.01", "doctrine.n.01"]
lucrativeness	["advantage.n.01", "profit.n.02"]
pratfall	["slip.n.07", "spill.n.04"]
pratfall	["nonaccomplishment.n.01", "mistake.n.01"]
posthouse	["hostel.n.01", "hotel.n.01"]
barrater	["wrongdoer.n.01", "bad_person.n.01"]
innateness	["changelessness.n.02", "quality.n.01"]
osteology	["anatomy.n.01", "morphology.n.01"]
inherency	["being.n.01", "presence.n.01"]
fuschia	["red.n.01", "purplish_red.n.01"]
rhinolaryngology	["medicine.n.01", "medical_science.n.01"]
rancidness	["taste_property.n.01", "olfactory_property.n.01", "property.n.02"]
microfarad	["capacitance_unit.n.01", "electromagnetic_unit.n.01"]
faulting	["opening.n.01", "crack.n.01"]
magnetograph	["instrument.n.01", "scientific_instrument.n.01"]
cosmetology	["use.n.01", "practice.n.04"]
pyelitis	["inflammatory_disease.n.01", "disease.n.01"]
heterozygote	["zygote.n.01", "cell.n.02"]
colourcast	["broadcast.n.02", "television_program.n.01"]
exbibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
polychrome	["product.n.02", "work.n.02"]
cere	["beak.n.02", "mouth.n.02"]
comprehensive	["communication.n.01", "examination.n.02"]
snowboarding	["slide.n.05", "motion.n.06"]
reflexology	["behaviorism.n.01", "experimental_psychology.n.01"]
reflexology	["massage.n.01", "treatment.n.01"]
sorehead	["malcontent.n.01", "person.n.01"]
salableness	["quality.n.01", "attribute.n.02"]
counterterrorist	["organism.n.01", "causal_agent.n.01", "person.n.01"]
geordie	["english_person.n.01", "britisher.n.01"]
geordie	["english.n.01", "west_germanic.n.01"]
climatologist	["expert.n.01", "person.n.01"]
piquantness	["taste_property.n.01", "spiciness.n.01"]
piquantness	["quality.n.01", "attribute.n.02"]
amyl	["group.n.02", "unit.n.05"]
foryml	["group.n.02", "acyl.n.01"]
rheometer	["measuring_instrument.n.01", "instrument.n.01"]
vampirism	["content.n.05", "belief.n.01"]
vampirism	["act.n.02", "action.n.01"]
ahem	["utterance.n.01", "auditory_communication.n.01"]
probiotic	["microorganism.n.01", "bacteria.n.01"]
arccos	["trigonometric_function.n.01", "function.n.01"]
rockiness	["irregularity.n.02", "unevenness.n.01"]
seductress	["seducer.n.01", "bad_person.n.01"]
sesquicentennial	["day.n.03", "anniversary.n.01"]
swale	["natural_depression.n.01", "trough.n.01"]
superstratum	["stratum.n.01", "layer.n.02"]
superstratum	["language.n.01", "communication.n.02"]
tradespeople	["group.n.01", "people.n.01"]
miotic	["drug.n.01", "agent.n.03"]
emeritus	["nonworker.n.01", "retiree.n.01"]
discography	["list.n.01", "catalog.n.02"]
puffery	["compliment.n.01", "flattery.n.01"]
parlay	["bet.n.02", "gambling.n.01"]
creepiness	["perception.n.03", "touch.n.10"]
solvability	["property.n.02", "attribute.n.02"]
adhocracy	["organization.n.01", "social_group.n.01"]
fascista	["fascist.n.01", "rightist.n.01"]
latakia	["tobacco.n.01", "turkish_tobacco.n.01"]
latakia	["municipality.n.01", "city.n.01"]
latakia	["port.n.01", "geographic_point.n.01"]
hierocracy	["theocracy.n.01", "political_system.n.01"]
totemist	["organism.n.01", "causal_agent.n.01", "person.n.01"]
arctan	["trigonometric_function.n.01", "function.n.01"]
alienor	["granter.n.01", "grantor.n.01"]
osteologer	["expert.n.01", "anatomist.n.01"]
commute	["travel.n.01", "journey.n.01"]
bling	["adornment.n.01", "jewelry.n.01"]
profiterole	["pastry.n.02", "baked_goods.n.01"]
darner	["mender.n.01", "skilled_worker.n.01"]
ramipril	["antihypertensive.n.01", "ace_inhibitor.n.01"]
meitnerium	["substance.n.01", "chemical_element.n.01"]
bobble	["blunder.n.01", "mistake.n.01"]
clop	["happening.n.01", "sound.n.04"]
glossarist	["scholar.n.01", "scholiast.n.01"]
maxi	["garment.n.01", "skirt.n.02"]
venerability	["honorableness.n.01", "righteousness.n.01"]
passado	["blow.n.01", "stab.n.02"]
muskiness	["olfactory_property.n.01", "property.n.02"]
splenius	["muscle.n.01", "skeletal_muscle.n.01"]
haplotype	["collection.n.01", "combination.n.01"]
mambo	["dancing.n.01", "diversion.n.01", "performing_arts.n.01"]
rawness	["damp.n.01", "wetness.n.01"]
rawness	["integrity.n.01", "state.n.02"]
rawness	["pain.n.01", "symptom.n.01"]
rawness	["content.n.05", "ignorance.n.01"]
absorbance	["compactness.n.02", "density.n.01"]
fermata	["notation.n.01", "musical_notation.n.01"]
fermata	["duration.n.03", "lengthiness.n.02"]
gibibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
vardenafil	["virility_drug.n.01", "drug.n.01"]
pesto	["condiment.n.01", "sauce.n.01"]
innocency	["naivete.n.01", "artlessness.n.01"]
rectorship	["position.n.06", "occupation.n.01"]
homeroom	["room.n.01", "classroom.n.01"]
dustiness	["dirtiness.n.01", "sanitary_condition.n.01"]
mobocracy	["political_system.n.01", "social_group.n.01"]
tideland	["shore.n.01", "seashore.n.01"]
euthenics	["natural_science.n.01", "life_science.n.01"]
osteologist	["expert.n.01", "anatomist.n.01"]
bandoneon	["concertina.n.02", "free-reed_instrument.n.01"]
raininess	["badness.n.02", "intensity.n.02"]
neve	["ice.n.02", "object.n.01"]
sudatorium	["house.n.12", "bathhouse.n.02"]
phytochemistry	["organic_chemistry.n.01", "chemistry.n.01"]
dextrin	["carbohydrate.n.01", "polysaccharide.n.01"]
covariation	["variation.n.07", "process.n.06"]
archaist	["organism.n.01", "expert.n.01", "causal_agent.n.01", "person.n.01"]
disfluency	["unskillfulness.n.01", "inability.n.01"]
witching	["use.n.01", "practice.n.04"]
desipramine	["tricyclic.n.01", "antidepressant.n.01"]
ding	["happening.n.01", "sound.n.04"]
ding	["blemish.n.01", "appearance.n.01"]
conceitedness	["trait.n.01", "attribute.n.02"]
kilobit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
perishability	["unsatisfactoriness.n.01", "quality.n.01"]
sunglass	["converging_lens.n.01", "lens.n.01"]
combustibility	["quality.n.01", "attribute.n.02"]
filicide	["parent.n.01", "genitor.n.01"]
filicide	["murder.n.01", "homicide.n.01"]
devotional	["religious_ceremony.n.01", "service.n.03"]
logomachy	["argument.n.03", "discussion.n.02"]
absurd	["state.n.02", "situation.n.01"]
blanc	["sauce.n.01", "white_sauce.n.01"]
duodecimal	["fraction.n.03", "common_fraction.n.01"]
nonpartizan	["organism.n.01", "causal_agent.n.01", "person.n.01"]
perimysium	["animal_tissue.n.01", "connective_tissue.n.01"]
corporatism	["control.n.01", "power.n.01"]
ankus	["device.n.01", "prod.n.02"]
cephalometry	["measurement.n.01", "activity.n.01"]
quinquennium	["time_period.n.01", "fundamental_quantity.n.01"]
arthritic	["case.n.06", "patient.n.01", "sick_person.n.01"]
alienee	["acquirer.n.01", "recipient.n.01"]
princeling	["prince.n.01", "aristocrat.n.01"]
retronym	["language_unit.n.01", "word.n.01"]
falangist	["fascist.n.01", "rightist.n.01"]
extremeness	["quality.n.01", "attribute.n.02"]
phlebotomist	["worker.n.01", "skilled_worker.n.01"]
tope	["place_of_worship.n.01", "shrine.n.01"]
voicemail	["telecommunication.n.01", "telephone.n.02"]
azurite	["malachite.n.01", "mineral.n.01"]
metalhead	["fan.n.03", "follower.n.01"]
feculence	["dirtiness.n.01", "sanitary_condition.n.01"]
pinkness	["pink.n.01", "chromatic_color.n.01"]
shinney	["field_game.n.01", "field_hockey.n.01"]
cymbalist	["percussionist.n.01", "musician.n.01"]
lowboy	["furniture.n.01", "chest_of_drawers.n.01"]
flagging	["collection.n.01", "group.n.01"]
flagging	["path.n.02", "walk.n.05"]
clunking	["happening.n.01", "sound.n.04"]
homeotherm	["organism.n.01", "animal.n.01"]
pinole	["foodstuff.n.02", "meal.n.03"]
anti	["organism.n.01", "causal_agent.n.01", "person.n.01"]
adoxography	["verbal_creation.n.01", "writing.n.01"]
catalectic	["line_of_poetry.n.01", "line.n.05"]
segregationism	["orientation.n.02", "political_orientation.n.01"]
ununquadium	["substance.n.01", "chemical_element.n.01"]
directiveness	["quality.n.01", "attribute.n.02"]
bereaved	["organism.n.01", "causal_agent.n.01", "person.n.01"]
craniology	["natural_science.n.01", "life_science.n.01"]
towhead	["blond.n.01", "person.n.01"]
nitramine	["explosive.n.01", "chemical.n.01"]
basuco	["hard_drug.n.01", "cocaine.n.01"]
corporatist	["advocate.n.01", "supporter.n.01"]
acatalectic	["line_of_poetry.n.01", "line.n.05"]
steatopygia	["bodily_property.n.01", "fatness.n.01"]
septectomy	["operation.n.06", "ablation.n.01"]
hassium	["substance.n.01", "chemical_element.n.01"]
utterness	["extent.n.02", "limit.n.01"]
settlor	["donor.n.01", "benefactor.n.01"]
moderationism	["plan_of_action.n.01", "policy.n.01"]
potlatch	["party.n.04", "ceremony.n.01", "fete.n.01", "affair.n.03"]
scaliness	["texture.n.01", "roughness.n.01"]
gynecocracy	["political_system.n.01", "social_group.n.01"]
paleographer	["anthropologist.n.01", "archeologist.n.01"]
electrotherapy	["medical_care.n.01", "therapy.n.01"]
falanga	["persecution.n.01", "torture.n.05"]
quadrivium	["discipline.n.01", "humanistic_discipline.n.01"]
trichotomy	["classification.n.02", "arrangement.n.02"]
commissure	["white_matter.n.01", "nerve_pathway.n.01"]
monolingual	["organism.n.01", "causal_agent.n.01", "person.n.01"]
sudorific	["medicine.n.02", "drug.n.01"]
stanhope	["horse-drawn_vehicle.n.01", "carriage.n.02"]
gangsta	["peer.n.01", "person.n.01"]
hobbyism	["commitment.n.02", "devotion.n.02"]
arcsecant	["trigonometric_function.n.01", "function.n.01"]
barratry	["traffic.n.02", "commerce.n.01"]
barratry	["crime.n.01", "bribery.n.01", "fraud.n.01", "transgression.n.01", "felony.n.01"]
rappel	["motion.n.06", "descent.n.03"]
ratatouille	["stew.n.02", "dish.n.02"]
lobbyism	["activity.n.01", "practice.n.01"]
terabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
mongoloid	["inhabitant.n.01", "person_of_color.n.01", "asian.n.01"]
mongoloid	["idiot.n.01", "simpleton.n.01"]
gerontocracy	["political_system.n.01", "social_group.n.01"]
mottle	["color.n.01", "visual_property.n.01"]
algidity	["illness.n.01", "collapse.n.01"]
faultlessness	["propriety.n.01", "correctness.n.02"]
mismatch	["counterpart.n.01", "equivalent.n.01"]
readout	["signal.n.01", "output_signal.n.01"]
readout	["message.n.02", "information.n.01"]
readout	["device.n.01", "electronic_device.n.01"]
trivium	["discipline.n.01", "humanistic_discipline.n.01"]
stratocracy	["polity.n.02", "government.n.01"]
wurtzite	["material.n.01", "mineral.n.01"]
whoosh	["noise.n.01", "sound.n.04"]
diastema	["opening.n.01", "space.n.02"]
dinette	["area.n.05", "room.n.01"]
caulk	["sealant.n.01", "sealing_material.n.01"]
egality	["equality.n.02", "status.n.01"]
backlighting	["apparatus.n.01", "lighting.n.02"]
equilateral	["figure.n.06", "shape.n.02"]
homonymy	["linguistic_relation.n.01", "relation.n.01"]
chrestomathy	["excerpt.n.01", "passage.n.02"]
seismography	["measurement.n.01", "activity.n.01"]
vitrine	["container.n.01", "instrumentality.n.03"]
gesso	["gypsum.n.01", "mineral.n.01", "plaster_of_paris.n.01", "calcium_sulphate.n.01"]
suffragism	["content.n.05", "belief.n.01"]
tourtiere	["pie.n.01", "meat_pie.n.01"]
asyndeton	["device.n.02", "rhetorical_device.n.01"]
anthroposophy	["method.n.01", "system.n.04"]
vestiture	["clothing.n.01", "covering.n.02", "consumer_goods.n.01"]
woodenness	["awkwardness.n.04", "inelegance.n.01"]
semiweekly	["series.n.03", "periodical.n.01"]
ochlocracy	["political_system.n.01", "social_group.n.01"]
robalo	["spiny-finned_fish.n.01", "percoid_fish.n.01"]
frequentative	["verb.n.02", "content_word.n.01"]
downstage	["stage.n.03", "platform.n.01"]
micrometry	["measurement.n.01", "activity.n.01"]
agglomerate	["volcanic_rock.n.01", "igneous_rock.n.01"]
agglomerate	["collection.n.01", "group.n.01"]
ununhexium	["substance.n.01", "chemical_element.n.01"]
weightlift	["exercise.n.01", "bodybuilding.n.01"]
superstrate	["stratum.n.01", "layer.n.02"]
superstrate	["language.n.01", "communication.n.02"]
kibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
amygdaloid	["volcanic_rock.n.01", "igneous_rock.n.01"]
macho	["person.n.01", "male.n.02"]
prehensor	["limb.n.01", "leg.n.02"]
saute	["dish.n.02", "nutriment.n.01"]
segregate	["organism.n.01", "causal_agent.n.01", "person.n.01"]
rectorate	["position.n.06", "occupation.n.01"]
storybook	["book.n.01", "publication.n.01"]
soapiness	["quality.n.01", "attribute.n.02"]
schnorrer	["moocher.n.01", "beggar.n.01"]
symposiast	["participant.n.01", "attendant.n.02"]
nepotist	["adult.n.01", "important_person.n.01"]
workwear	["clothing.n.01", "apparel.n.01"]
loungewear	["clothing.n.01", "covering.n.02", "consumer_goods.n.01"]
julienne	["vegetable.n.01", "produce.n.01"]
julienne	["soup.n.01", "dish.n.02"]
petabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
haymow	["large_indefinite_quantity.n.01", "batch.n.02"]
haymow	["floor.n.02", "loft.n.02"]
soochong	["black_tea.n.01", "tea.n.05"]
zebibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
philhellenism	["admiration.n.01", "liking.n.01"]
biriani	["dish.n.02", "nutriment.n.01"]
autochthon	["person.n.01", "primitive.n.01"]
stogy	["roll_of_tobacco.n.01", "cigar.n.01"]
folderal	["artifact.n.01", "decoration.n.01"]
spoilable	["foodstuff.n.02", "food.n.01"]
fagoting	["embroidery.n.02", "needlework.n.01"]
scauper	["hand_tool.n.01", "graver.n.01"]
barrator	["wrongdoer.n.01", "bad_person.n.01"]
tebibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
brochette	["spit.n.03", "skewer.n.01"]
hire	["employee.n.01", "worker.n.01"]
hire	["act.n.02", "event.n.01"]
neuropil	["animal_tissue.n.01", "nervous_tissue.n.01"]
nightlife	["entertainment.n.01", "diversion.n.01", "activity.n.01"]
hypothetical	["hypothesis.n.02", "concept.n.01"]
ultima	["language_unit.n.01", "syllable.n.01"]
reflectiveness	["trait.n.01", "thoughtfulness.n.03"]
angioedema	["swelling.n.01", "edema.n.01"]
retinopathy	["eye_disease.n.01", "disease.n.01"]
neediness	["financial_condition.n.01", "poverty.n.01"]
neediness	["quality.n.01", "attribute.n.02"]
neuropile	["animal_tissue.n.01", "nervous_tissue.n.01"]
arachnophobia	["simple_phobia.n.01", "zoophobia.n.01"]
equidistribution	["arrangement.n.03", "distribution.n.01"]
ringway	["highway.n.01", "road.n.01"]
cuckoldry	["seduction.n.02", "sexual_conquest.n.01"]
bohrium	["substance.n.01", "chemical_element.n.01"]
perishableness	["unsatisfactoriness.n.01", "quality.n.01"]
moviemaking	["devising.n.01", "production.n.01"]
otherworld	["entity.n.01", "abstraction.n.06"]
homozygote	["zygote.n.01", "cell.n.02"]
ununbium	["substance.n.01", "chemical_element.n.01"]
skedaddle	["running_away.n.01", "escape.n.01"]
squabbler	["malcontent.n.01", "person.n.01"]
sensorium	["cortical_area.n.01", "area.n.03"]
cardholder	["holder.n.02", "owner.n.02"]
cardholder	["card_player.n.01", "player.n.01"]
swoosh	["noise.n.01", "sound.n.04"]
filaggrin	["protein.n.01", "macromolecule.n.01"]
mebibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
spirometry	["measurement.n.01", "activity.n.01"]
ethnic	["organism.n.01", "causal_agent.n.01", "person.n.01"]
reenactor	["performer.n.01", "actor.n.01"]
tirolean	["hat.n.01", "headdress.n.01"]
yottabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
stocktaker	["employee.n.01", "worker.n.01"]
epithalamium	["lyric.n.02", "ode.n.01"]
odist	["writer.n.01", "poet.n.01"]
revolutionism	["content.n.05", "belief.n.01"]
intestacy	["state.n.02", "situation.n.01"]
combustibleness	["quality.n.01", "attribute.n.02"]
didacticism	["abstraction.n.06", "communication.n.02"]
hygienist	["doctor.n.01", "specialist.n.02"]
snoek	["fish.n.01", "food_fish.n.01"]
bluenose	["canadian.n.01", "north_american.n.01"]
prescriptivism	["belief.n.01", "doctrine.n.01"]
polder	["object.n.01", "land.n.02"]
vaporizer	["device.n.01", "instrumentality.n.03"]
catechin	["phenol.n.01", "tannin.n.01"]
generic	["alcohol.n.01", "wine.n.01"]
generic	["commodity.n.01", "merchandise.n.01"]
colorcast	["broadcast.n.02", "television_program.n.01"]
spelter	["metallic_element.n.01", "zinc.n.01"]
gambist	["musician.n.01", "performer.n.01"]
falderol	["artifact.n.01", "decoration.n.01"]
pizzicato	["music.n.01", "auditory_communication.n.01"]
monoculture	["culture.n.07", "cultivation.n.02"]
boulevardier	["traveler.n.01", "visitor.n.01"]
arithmancy	["prophecy.n.01", "divination.n.03"]
metallic	["artifact.n.01", "fabric.n.01"]
metallic	["thread.n.01", "cord.n.01"]
